accountId,username,timesAsshole
46487,\uD83C\uDFF4‍☠️ Pirate Ship \uD83C\uDFF3️‍⚧️ w4ll,0
46665,crow\uD83D\uDC26,1
46686,Mystery Guest #46686,0
46707,Mystery Guest #46707,0
46717,Mystery Guest #46717,0
46806,Mystery Guest #46806,0
46815,Mystery Guest #46815,0
46849,Mystery Guest #46849,0
46854,Mystery Guest #46854,0
46921,Mystery Guest #46921,0
46977,Mystery Guest #46977,0
47042,Goku90504,0
47057,Mystery Guest #47057,0
47109,Lol,0
47115,PGP,0
47168,Kam The P.,0
47245,Jelly,0
47255,Mystery Guest #47255,0
47330,birduwu,0
47356,Mystery Guest #47356,0
47383,Mystery Guest #47383,0
47400,Mystery Guest #47400,0
47500,Mystery Guest #47500,0
47536,Mystery Guest #47536,0
47552,Mystery Guest #47552,0
47558,Mystery Guest #47558,0
47598,Mystery Guest #47598,0
47600,Mystery Guest #47600,0
47606,Mystery Guest #47606,0
47683,Mighty Mythical Gryphon,2
47684,Mystery Guest #47684,0
47691,Mystery Guest #47691,0
47739,Mystery Guest #47739,0
47746,CrazyWalrus,0
47750,Mystery Guest #47750,0
47797,Mystery Guest #47797,0
47800,Mystery Guest #47800,0
47878,Mystery Guest #47878,0
47883,ShadowRealm,0
47926,Mystery Guest #47926,0
47955,Mystery Guest #47955,0
48063,Mystery Guest #48063,0
48143,NeAu8,0
48151,Illude,0
48179,Mystery Guest #48179,0
48191,Mystery Guest #48191,0
48199,Mystery Guest #48199,0
48209,Mystery Guest #48209,0
48309,Mystery Guest #48309,0
48322,---------,0
48355,Mystery Guest #48355,0
48379,Enigmatic Guest #48379,0
48399,Mystery Guest #48399,0
48439,Mystery Guest #48439,0
48465,Mystery Guest #48465,0
48469,Mystery Guest #48469,0
48520,Mystery Guest #48520,0
48677,Mystery Guest #48677,0
48693,Mystery Guest #48693,0
48720,Kash Tan,0
48730,Mystery Guest #48730,0
48735,Mystery Guest #48735,0
48743,Mystery Guest #48743,0
48763,Mystery Guest #48763,0
48855,APileOfWetLaundry,0
48856,Mystery Guest #48856,0
48885,taro,0
48893,Mystery Guest #48893,0
48936,Mystery Guest #48936,0
48984,Joe,0
48994,Mystery Guest #48994,0
49016,Mystery Guest #49016,0
49088,Mystery Guest #49088,0
49165,Mystery Guest #49165,0
49223,Mystery Guest #49223,0
49230,Mystery Guest #49230,0
49239,bev,2
49323,Mystery Guest #49323,0
49358,Mystery Guest #49358,0
49376,El Pollo Diablo,0
49379,Mystery Guest #49379,0
49474,Mystery Guest #49474,0
49534,R1V3N,0
49565,Baal,0
49570,Mystery Guest #49570,0
49641,Retardo,0
49659,adovkoder,0
49690,Mystery Guest #49690,0
49732,Mystery Guest #49732,0
49794,Mystery Guest #49794,0
49799,Mystery Guest #49799,0
49819,Nucky,0
49895,Mystery Guest #49895,0
49899,Mystery Guest #49899,0
49904,Paver,0
49906,something,0
49911,Thomix,0
49918,Wall Buster,0
49941,Sylvia,1
49948,cole,0
49964,Hmm,0
49973,Mystery Guest #49973,0
50001,Mystery Guest #50001,0
50010,Mystery Guest #50010,0
50012,Mystery Guest #50012,0
50022,Mystery Guest #50022,0
50047,Mystery Guest #50047,0
50086,Mystery Guest #50086,0
50094,Mystery Guest #50094,0
50117,ssmeeds,0
50123,Mystery Guest #50123,0
50127,Mystery Guest #69420,2
50130,Mystery Guest #50130,0
50163,Ned,0
50203,Mystery Guest #50203,0
50207,Mystery Guest #50207,0
50244,Mystery Guest #50244,0
50273,Biik,0
50277,jip,0
50284,Mystery Guest #50284,0
50392,MisterPepper,0
50402,Mystery Guest #50402,0
50430,bobeyuno,0
50457,Mystery Guest #50457,0
50463,Mystery Guest #50463,0
50490,Mystery Guest #50490,0
50499,Mystery Guest #50499,0
50502,i dont know                【□】,1
50558,Mystery Guest #50558,0
50584,wav3y,0
50610,Lane,0
50619,Uh,0
50720,Mystery Guest #50720,0
50761,TAZMAN OLSEN BARNES,0
50781,Mystery Guest #50781,0
50811,TopOfTheBottomOfTheTop,0
50814,Morjen,0
50815,Mystery Guest #50815,0
50845,Mystery Guest #50845,0
50862,How do i play this?,0
50980,Mystery Guest #50980,0
50986,Ciythog127,0
50990,Mystery Guest #50990,0
50995,Blizet,0
51002,Mystery Guest #51002,0
51025,Mystery Guest #51025,0
51030,hamdrew \uD83D\uDC16,0
51049,Princess,1
51054,Mystery Guest #51054,0
51065,How do I play this game?,0
51104,Mystery Guest #51104,0
51120,Mystery Guest #51120,0
51124,Mystery Guest #51124,0
51125,Mystery Guest #51125,0
51160,Mystery Guest #51160,0
51161,Zool,0
51182,Mystery Guest #51182,0
51279,Mystery Guest #51279,0
51287,Mystery Guest #51287,0
51298,Mystery Guest #51298,0
51300,Mystery Guest #51300,0
51301,DietmarDuplo,1
51303,Derflet,0
51318,nutter,0
51340,Mystery Guest #51340,0
51349,Mystery Guest #51349,0
51356,Mystery Guest #51356,0
51358,SirBiggles,0
51376,JimmWasHere,0
51408,DarkRooster,0
51423,Satan,0
51433,Hamspiced,0
51452,Mystery Guest #51452,0
51479,Mystery Guest #51479,0
51487,Nydaleclya,0
51556,Mystery Guest #51556,0
51566,OfficeDitz,0
51607,Mystery Guest #51607,0
51647,Mystery Guest #51647,0
51656,TheMessiah,0
51674,Lyght,0
51689,Mystery Guest #51689,0
51704,Mystery Guest #51704,0
51727,Ameisenmotor,0
51729,Humble Sour,0
51746,Mystery Guest #51746,0
51764,Slowfix,0
51783,bocaji,1
51803,Are we there yet,0
51875,Mysterious Guest #51875,0
51878,acidix,0
51884,Mystery Guest #51884,0
51913,Final boss of L10,0
51917,Greedo,0
51947,Krzych | auto L15,0
51948,Mystery Guest #51948,0
51990,cputones,0
52007,Mystery Guest #52007,0
52022,Mac,0
52035,Smoerg,0
52044,new name,0
52060,Mystery Guest #52060,0
52078,Buttscratcher!!!,0
52099,Mystery Guest #52099,0
